"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac"
"543","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","136","13","setsize","10S3A","sports","1","27","0","1","1"
"521","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","137","13","setsize","10S3A","sports","1","28","0","1","1"
"503","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","138","13","setsize","10S3A","sports","1","29","1","1","1"
"493","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","139","13","setsize","10S3A","sports","1","0","1","0","1"
"817","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","140","14","setsize","10S3A","sports","1","1","2","1","1"
"483","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","141","14","setsize","10S3A","sports","1","2","0","1","1"
"942","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","142","14","setsize","10S3A","sports","1","3","2","1","1"
"550","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","143","14","setsize","10S3A","sports","1","4","2","1","1"
"726","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","144","14","setsize","10S3A","sports","1","5","1","1","1"
"515","null","learn","18:04:19","0","0","0","learn","0","0","[0, 1, 2]","145","14","setsize","10S3A","sports","1","6","0","1","1"
"536","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","146","14","setsize","10S3A","sports","1","7","0","1","1"
"488","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","147","14","setsize","10S3A","sports","1","8","1","1","1"
"494","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","148","14","setsize","10S3A","sports","1","9","1","1","1"
"602","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","149","14","setsize","10S3A","sports","1","10","2","1","1"
"580","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","150","15","setsize","10S3A","sports","1","11","1","1","1"
