"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"1740","null","learn","12:28:35","4","4","4","learn","2","2","[0, 1, 2]","51","8","setsizechunk","6S","furniture","2","23","2","1","3","",""
"507","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","52","8","setsizechunk","6S","furniture","2","24","2","1","3","",""
"545","null","learn","12:28:35","2","2","2","learn","1","1","[0, 1, 2]","53","8","setsizechunk","6S","furniture","2","25","1","1","3","",""
"842","null","learn","12:28:35","4","4","4","learn","2","2","[0, 1, 2]","54","9","setsizechunk","6S","furniture","2","26","2","1","3","",""
"610","null","learn","12:28:35","2","2","2","learn","1","1","[0, 1, 2]","55","9","setsizechunk","6S","furniture","2","27","1","1","3","",""
"682","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","56","9","setsizechunk","6S","furniture","2","28","0","1","3","",""
"752","null","learn","12:28:35","3","3","3","learn","1","1","[0, 1, 2]","57","9","setsizechunk","6S","furniture","2","29","1","1","3","",""
"801","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","58","9","setsizechunk","6S","furniture","2","30","2","1","3","",""
"837","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","59","9","setsizechunk","6S","furniture","2","31","0","1","3","",""
"960","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","60","10","setsizechunk","6S","furniture","2","32","0","1","3","",""
"652","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","61","10","setsizechunk","6S","furniture","2","33","0","1","3","",""
"646","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","62","10","setsizechunk","6S","furniture","2","34","2","1","3","",""
"1132","null","learn","12:28:35","3","3","3","learn","1","1","[0, 1, 2]","63","10","setsizechunk","6S","furniture","2","35","1","1","3","",""
"1032","null","learn","12:28:35","4","4","4","learn","2","2","[0, 1, 2]","64","10","setsizechunk","6S","furniture","2","36","2","1","3","",""
"456","null","learn","12:28:35","2","2","2","learn","1","1","[0, 1, 2]","65","10","setsizechunk","6S","furniture","2","37","1","1","3","",""
"429","null","learn","12:28:35","2","2","2","learn","1","1","[0, 1, 2]","66","11","setsizechunk","6S","furniture","2","38","1","1","3","",""
"692","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","67","11","setsizechunk","6S","furniture","2","39","0","1","3","",""
"796","null","learn","12:28:35","3","3","3","learn","1","1","[0, 1, 2]","68","11","setsizechunk","6S","furniture","2","40","1","1","3","",""
"930","null","learn","12:28:35","4","4","4","learn","2","2","[0, 1, 2]","69","11","setsizechunk","6S","furniture","2","41","2","1","3","",""
"600","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","70","11","setsizechunk","6S","furniture","2","42","0","1","3","",""
"495","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","71","11","setsizechunk","6S","furniture","2","43","2","1","3","",""
"552","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","72","12","setsizechunk","6S","furniture","2","44","0","1","3","",""
"720","null","learn","12:28:35","2","2","2","learn","1","1","[0, 1, 2]","73","12","setsizechunk","6S","furniture","2","45","1","1","3","",""
"577","null","learn","12:28:35","4","4","4","learn","2","2","[0, 1, 2]","74","12","setsizechunk","6S","furniture","2","46","2","1","3","",""
"498","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","75","12","setsizechunk","6S","furniture","2","47","0","1","3","",""
"484","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","76","12","setsizechunk","6S","furniture","2","48","2","1","3","",""
"786","null","learn","12:28:35","3","3","3","learn","1","1","[0, 1, 2]","77","12","setsizechunk","6S","furniture","2","49","1","1","3","",""
"475","null","learn","12:28:35","5","5","5","learn","2","2","[0, 1, 2]","78","13","setsizechunk","6S","furniture","2","50","2","1","3","",""
"545","null","learn","12:28:35","1","1","1","learn","0","0","[0, 1, 2]","79","13","setsizechunk","6S","furniture","2","51","0","1","3","",""
"585","null","learn","12:28:35","3","3","3","learn","1","1","[0, 1, 2]","80","13","setsizechunk","6S","furniture","2","52","1","1","3","",""
"524","null","learn","12:28:35","0","0","0","learn","0","0","[0, 1, 2]","81","13","setsizechunk","6S","furniture","2","53","0","1","3","",""
"718","null","learn","12:28:35","2","2","2","learn","1","1","[0, 1, 2]","82","13","setsizechunk","6S","furniture","2","54","1","1","3","",""
