"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"1485","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","4","0","setsizechunk","6S","sports","2","0","0","0","4","",""
"744","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","5","0","setsizechunk","6S","sports","2","1","0","1","4","",""
"905","null","learn","16:32:00","2","2","2","learn","1","1","[0, 1, 2]","6","1","setsizechunk","6S","sports","2","2","1","1","4","",""
"461","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","7","1","setsizechunk","6S","sports","2","0","1","0","4","",""
"1999","null","learn","16:32:00","4","4","4","learn","2","2","[0, 1, 2]","8","1","setsizechunk","6S","sports","2","0","1","0","4","",""
"1198","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","9","1","setsizechunk","6S","sports","2","1","0","1","4","",""
"870","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","10","1","setsizechunk","6S","sports","2","2","0","1","4","",""
"1462","null","learn","16:32:00","3","3","3","learn","1","1","[0, 1, 2]","11","1","setsizechunk","6S","sports","2","3","1","1","4","",""
"672","null","learn","16:32:00","3","3","3","learn","1","1","[0, 1, 2]","12","2","setsizechunk","6S","sports","2","4","1","1","4","",""
"872","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","13","2","setsizechunk","6S","sports","2","5","0","1","4","",""
"1090","null","learn","16:32:00","4","4","4","learn","2","2","[0, 1, 2]","14","2","setsizechunk","6S","sports","2","6","2","1","4","",""
"885","null","learn","16:32:00","2","2","2","learn","1","1","[0, 1, 2]","15","2","setsizechunk","6S","sports","2","0","2","0","4","",""
"1324","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","16","2","setsizechunk","6S","sports","2","1","0","1","4","",""
"1821","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","17","2","setsizechunk","6S","sports","2","0","1","0","4","",""
"null","null","learn","16:32:00","4","4","4","learn","2","2","[0, 1, 2]","18","3","setsizechunk","6S","sports","2","0","999","0","4","",""
"1085","null","learn","16:32:00","2","2","2","learn","1","1","[0, 1, 2]","19","3","setsizechunk","6S","sports","2","1","1","1","4","",""
"1467","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","20","3","setsizechunk","6S","sports","2","0","1","0","4","",""
"783","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","21","3","setsizechunk","6S","sports","2","1","0","1","4","",""
"1160","null","learn","16:32:00","3","3","3","learn","1","1","[0, 1, 2]","22","3","setsizechunk","6S","sports","2","2","1","1","4","",""
"1509","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","23","3","setsizechunk","6S","sports","2","0","2","0","4","",""
"1193","null","learn","16:32:00","4","4","4","learn","2","2","[0, 1, 2]","24","4","setsizechunk","6S","sports","2","0","1","0","4","",""
"864","null","learn","16:32:00","2","2","2","learn","1","1","[0, 1, 2]","25","4","setsizechunk","6S","sports","2","0","0","0","4","",""
"811","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","26","4","setsizechunk","6S","sports","2","0","0","0","4","",""
"595","null","learn","16:32:00","1","1","1","learn","0","0","[0, 1, 2]","27","4","setsizechunk","6S","sports","2","1","0","1","4","",""
"872","null","learn","16:32:00","0","0","0","learn","0","0","[0, 1, 2]","28","4","setsizechunk","6S","sports","2","0","1","0","4","",""
"1000","null","learn","16:32:00","3","3","3","learn","1","1","[0, 1, 2]","29","4","setsizechunk","6S","sports","2","1","1","1","4","",""
"2072","null","learn","16:32:00","5","5","5","learn","2","2","[0, 1, 2]","30","5","setsizechunk","6S","sports","2","0","1","0","4","",""
"868","null","learn","16:32:00","3","3","3","learn","1","1","[0, 1, 2]","31","5","setsizechunk","6S","sports","2","1","1","1","4","",""
"1007","null","learn","16:32:00","2","2","2","learn","1","1","[0, 1, 2]","32","5","setsizechunk","6S","sports","2","2","1","1","4","",""
"1129","null","learn","16:32:00","4","4","4","learn","2","2","[0, 1, 2]","33","5","setsizechunk","6S","sports","2","0","0","0","4","",""
