"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"661","null","learn","18:12:06","2","2","2","learn","1","1","[0, 1, 2]","82","13","setsizechunk","6S","animals","1","0","0","0","3","",""
"1271","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","83","13","setsizechunk","6S","animals","1","1","0","1","3","",""
"556","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","84","14","setsizechunk","6S","animals","1","2","0","1","3","",""
"891","null","learn","18:12:06","2","2","2","learn","1","1","[0, 1, 2]","85","14","setsizechunk","6S","animals","1","3","1","1","3","",""
"826","null","learn","18:12:06","3","3","3","learn","1","1","[0, 1, 2]","86","14","setsizechunk","6S","animals","1","4","1","1","3","",""
"776","null","learn","18:12:06","5","5","5","learn","2","2","[0, 1, 2]","87","14","setsizechunk","6S","animals","1","5","2","1","3","",""
"780","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","88","14","setsizechunk","6S","animals","1","6","0","1","3","",""
"751","null","learn","18:12:06","4","4","4","learn","2","2","[0, 1, 2]","89","14","setsizechunk","6S","animals","1","7","2","1","3","",""
"601","null","learn","18:12:06","2","2","2","learn","1","1","[0, 1, 2]","90","15","setsizechunk","6S","animals","1","8","1","1","3","",""
"99","null","memory","18:12:06","9","岩石","4","memory","99","","[]","180","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","8","沉稳","18","memory","99","","[]","181","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","9","书包","14","memory","99","","[]","182","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","0","瀑布","15","memory","99","","[]","183","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","1","镜子","1","memory","99","","[]","184","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","0","纸盒","10","memory","99","","[]","185","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","2","纯净","7","memory","99","","[]","186","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","1","纸袋","11","memory","99","","[]","187","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","2","沉稳","17","memory","99","","[]","188","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","2","线缆","2","memory","99","","[]","189","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","9","插头","9","memory","99","","[]","190","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","0","针线","0","memory","99","","[]","191","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","0","丘陵","5","memory","99","","[]","192","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","8","书架","3","memory","99","","[]","193","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","1","雪山","6","memory","99","","[]","194","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","9","书签","19","memory","99","","[]","195","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","8","淡雅","8","memory","99","","[]","196","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","2","橡皮","12","memory","99","","[]","197","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","8","粉笔","13","memory","99","","[]","198","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","1","湿地","16","memory","99","","[]","199","0","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","9","岩石","4","memory","99","","[]","200","1","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","1","镜子","1","memory","99","","[]","201","1","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","8","书架","3","memory","99","","[]","202","1","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","9","书签","19","memory","99","","[]","203","1","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","9","书包","14","memory","99","","[]","204","1","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","1","湿地","16","memory","99","","[]","205","1","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","2","橡皮","12","memory","99","","[]","206","1","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","8","沉稳","18","memory","99","","[]","207","1","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","8","粉笔","13","memory","99","","[]","208","1","setsizechunk","6S","animals","1","","99","99","3","",""
"99","null","memory","18:12:06","1","雪山","6","memory","99","","[]","209","1","setsizechunk","6S","animals","1","","99","99","3","",""
